Rank,Title,Year,Geek_Ratings,Avg_Ratings,Voters
1,Brass: Birmingham,2018,8.402,8.58,51834
2,Pandemic Legacy: Season 1,2015,8.364,8.52,55509
3,Ark Nova,2021,8.345,8.54,52095
4,Gloomhaven,2017,8.327,8.56,64782
5,Twilight Imperium: Fourth Edition,2017,8.229,8.58,25993
6,Dune: Imperium,2020,8.227,8.42,52246
7,Terraforming Mars,2016,8.201,8.35,106061
8,War of the Ring: Second Edition,2011,8.193,8.55,23214
9,Star Wars: Rebellion,2016,8.169,8.42,34404
10,Spirit Island,2017,8.142,8.34,57241
11,Gloomhaven: Jaws of the Lion,2020,8.129,8.4,37723
12,Dune: Imperium – Uprising,2023,8.115,8.72,11644
13,Gaia Project,2017,8.099,8.36,29287
14,Twilight Struggle,2005,8.054,8.24,50413
15,Through the Ages: A New Story of Civilization,2015,8.037,8.27,33273
16,The Castles of Burgundy,2011,8.021,8.15,65775
17,Great Western Trail,2016,7.998,8.17,42414
18,Eclipse: Second Dawn for the Galaxy,2020,7.969,8.42,15491
19,Scythe,2016,7.969,8.12,88495
20,7 Wonders Duel,2015,7.963,8.09,101793
21,Brass: Lancashire,2007,7.961,8.2,26077
22,Frosthaven,2022,7.95,8.79,8569
23,Nemesis,2018,7.949,8.26,33869
24,Clank! Legacy: Acquisitions Incorporated,2019,7.944,8.52,10396
25,A Feast for Odin,2016,7.941,8.16,30921
26,Concordia,2013,7.933,8.08,42733
27,Great Western Trail: Second Edition,2021,7.903,8.29,15349
28,Lost Ruins of Arnak,2020,7.899,8.07,50149
29,Arkham Horror: The Card Game,2016,7.898,8.13,45550
30,Root,2018,7.885,8.07,57572
31,Too Many Bones,2017,7.877,8.33,15343
32,Terra Mystica,2012,7.874,8.04,49506
33,Wingspan,2019,7.87,8.02,103046
34,Orléans,2014,7.862,8.05,33557
35,Sky Team,2023,7.846,8.17,19979
36,Mage Knight Board Game,2011,7.845,8.08,34258
37,Barrage,2019,7.842,8.15,19664
38,The Crew: Mission Deep Sea,2021,7.828,8.1,21518
39,Everdell,2018,7.827,8.0,61573
40,Viticulture Essential Edition,2015,7.822,7.97,51989
41,The Lord of the Rings: Duel for Middle-earth,2024,7.811,8.4,10179
42,Heat: Pedal to the Metal,2022,7.797,8.02,32041
43,Marvel Champions: The Card Game,2019,7.793,8.11,25762
44,Crokinole,1876,7.786,8.05,19581
45,Food Chain Magnate,2015,7.784,8.05,21638
46,Kanban EV,2020,7.782,8.4,8893
47,Hegemony: Lead Your Class to Victory,2023,7.781,8.43,9394
48,Pax Pamir: Second Edition,2019,7.778,8.15,15851
49,Underwater Cities,2018,7.776,8.05,21307
50,Puerto Rico,2002,7.763,7.91,72639
51,Slay the Spire: The Board Game,2024,7.761,8.72,6591
52,Cascadia,2021,7.752,7.92,47118
53,Cthulhu: Death May Die,2019,7.751,8.19,14815
54,Pandemic Legacy: Season 0,2020,7.749,8.37,8648
55,Caverna: The Cave Farmers,2013,7.747,7.93,36068
56,Anachrony,2017,7.745,8.06,20158
57,On Mars,2020,7.741,8.17,13760
58,Blood Rage,2015,7.739,7.91,49470
59,Agricola,2007,7.736,7.87,74708
60,Oathsworn: Into the Deepwood,2022,7.726,8.86,5893
61,Sleeping Gods,2021,7.719,8.15,14060
62,Lisboa,2017,7.712,8.18,11986
63,SETI: Search for Extraterrestrial Intelligence,2024,7.712,8.4,8343
64,Age of Innovation,2023,7.71,8.54,6449
65,Pandemic Legacy: Season 2,2017,7.709,8.02,17618
66,Obsession,2018,7.708,8.1,15286
67,Grand Austria Hotel,2015,7.703,7.96,22919
68,Mansions of Madness: Second Edition,2016,7.695,7.93,38402
69,Tzolk'in: The Mayan Calendar,2012,7.69,7.85,40890
70,Power Grid,2004,7.688,7.8,67486
71,Quacks,2018,7.673,7.81,54707
72,Clans of Caledonia,2017,7.67,7.94,21382
73,Le Havre,2008,7.668,7.84,32793
74,Clank!: Catacombs,2022,7.668,8.25,9379
75,Paladins of the West Kingdom,2019,7.667,7.97,19204
76,Maracaibo,2019,7.667,7.98,17631
77,The Gallerist,2015,7.665,8.01,15554
78,Star Wars: Imperial Assault,2014,7.661,7.96,25296
79,Android: Netrunner,2012,7.657,7.89,30722
80,Mechs vs. Minions,2016,7.644,7.96,17886
81,Agricola (Revised Edition),2016,7.643,7.95,19580
82,The Crew: The Quest for Planet Nine,2019,7.638,7.78,45181
83,Kingdom Death: Monster,2015,7.63,8.48,10024
84,Harmonies,2024,7.625,8.02,15941
85,Race for the Galaxy,2007,7.625,7.74,57194
86,Azul,2017,7.622,7.73,99157
87,Five Tribes: The Djinns of Naqala,2014,7.615,7.77,43446
88,The White Castle,2023,7.615,7.99,15505
89,Ticket to Ride Legacy: Legends of the West,2023,7.613,8.68,4700
90,Clank!: A Deck-Building Adventure,2016,7.606,7.77,44870
91,Eclipse: New Dawn for the Galaxy,2011,7.602,7.82,28742
92,Fields of Arle,2014,7.6,8.03,11710
93,Revive,2022,7.598,8.1,10164
94,Aeon's End,2016,7.595,7.88,22399
95,Darwin's Journey,2023,7.594,8.13,9695
96,Lords of Waterdeep,2012,7.587,7.73,57457
97,El Grande,1995,7.587,7.76,31040
98,Wingspan Asia,2022,7.585,8.25,8066
99,Great Western Trail: New Zealand,2023,7.583,8.53,5093
100,Teotihuacan: City of Gods,2018,7.58,7.85,21036
1,Brass: Birmingham,2018,8.402,8.58,51834
2,Pandemic Legacy: Season 1,2015,8.364,8.52,55509
3,Ark Nova,2021,8.345,8.54,52095
4,Gloomhaven,2017,8.327,8.56,64782
5,Twilight Imperium: Fourth Edition,2017,8.229,8.58,25993
6,Dune: Imperium,2020,8.227,8.42,52246
7,Terraforming Mars,2016,8.201,8.35,106061
8,War of the Ring: Second Edition,2011,8.193,8.55,23214
9,Star Wars: Rebellion,2016,8.169,8.42,34404
10,Spirit Island,2017,8.142,8.34,57241
11,Gloomhaven: Jaws of the Lion,2020,8.129,8.4,37723
12,Dune: Imperium – Uprising,2023,8.115,8.72,11644
13,Gaia Project,2017,8.099,8.36,29287
14,Twilight Struggle,2005,8.054,8.24,50413
15,Through the Ages: A New Story of Civilization,2015,8.037,8.27,33273
16,The Castles of Burgundy,2011,8.021,8.15,65775
17,Great Western Trail,2016,7.998,8.17,42414
